text,label
手机左下角有有瑕丝质量问题，手机包装盒有磨损，包装只有个透明袋子就把手机邮过来了。没有任何保护。,0
京东现在服务是越来越差了，原来没有升级的时候我这个怎么还是钻石会员每月有两张免运费卷，而且随时可以打售后电话，可是现在呢，卷没得不说售后电话永远打不通，是你们京东现在是生意越做越大，可是越来越不注重售后了，也不想想你们能有今天还不是我们这些消费者给你们的，真的是火大，,0
给老人买的 字体清晰 声音够响亮 还有手电筒和充电宝功能 最主要的是不总总冲电了， 冲一次够用一个月了 ，手感厚重棒棒哒 老太太很喜欢哈,2
非常666，刚拿到手特别新奇，价格真优惠，值得说的是京东的派送，真心的快啊，今天下单明天拿到，这服务666。机器非常666，刚拿到手特别新奇，价格真优惠，值得说的是京东的派送，真心的快啊，今天下单明天拿到，这服务6机器非常666，刚拿到手特别新奇，价格真优惠，值得说的是京东的派送，真心的快啊，今天下单明天拿到，这服务666。66。,2
照相功能，手机的分辨率太差了，前摄像头照相还过的去，后摄像头拍照图片放大了会模糊，不能远拍，比国产机差的不是一个等级，满分10分给5分,1
外观美丽华尔金色的，适合老人家。手机电池充完电后用来听收音机非常赞。音质也是出乎我的意料。许多广播都能清晰听见。同时可以通过手机左侧的音量键调节广播音量。手机使用方便，可以开锁。开锁方式有两种，一种是从侧面开锁，一种是按键开锁。等使用一段时间后继续评论电池的耐用程度。,2
双十一没有赶上，双十二一到马上买了，只便宜一百多。这是我买的第一个苹果手机，本来纠结8p和7p很久了，后来想想8p就内存大和外观材质不同，其他性能也差不多，而且玻璃身实在不适合我这种女汉子?7p的128也够用了。一收到货就马上查了序列号，是正品无误，用惯了安卓的我觉得这机身确实有点大而且重了，不过后面应该会习惯的。反应还可以，小伙伴们自己看吧。其他性能我慢慢在体验，后面再追评。玫瑰金真的很漂亮，非常喜欢！,2
直接说问题：1）品控问题是肉眼可见的，我先后下过两份订单，第一份收货后发现屏幕左右缝隙明显不对称，所谓在正常品控标准范围内的瑕疵，我觉得并不算骄傲。在视觉上白色机身呈现的质感非常好，虽然我并不喜欢侧身的&ldquo;银线&rdquo;，而且很多客户反馈LOGO有角度不正的情况，但并不影响白色Pro2的整体质感。,1
嗯，感觉这手机的话电池还是没有那么耐用。然后放音乐的时候听筒也会有声音，不知道是什么原因，听筒有声音，打电话给华为客服了，他也没有给我明确的方法处理一下。,1
UI不是一般的差，感觉落后几个世纪，下滑没有常用配置界面，wifi，流量，电灯等常用配置需要进入设置，然后一个一个找，也是醉了。音量键就只能同时调一种音量，返回按键每次要按两次，最可恨的是角标！！！！就是指微信呀qq呀信息呀图标右上角的小红数，竟然无法屏蔽。。。。你这是闹哪样，现在每天的工作就是清除角标！！！,1
